ordernumber,quantityordered,priceeach,sales,orderdate,status,qtr_id,month_id,year_id,productline,customername,country,territory,dealsize
10291,30,100.0,0.1758075211668866,2004-09-08,Shipped,3,9,2004,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Medium
10334,26,100.0,-0.1886463444660859,2004-11-19,On Hold,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
10347,27,100.0,0.48804217408944117,2004-11-29,Shipped,4,11,2004,Classic Cars,"Australian Collectors, Co.",Australia,APAC,Medium
10370,35,65.63,-0.6749650513000321,2005-01-20,Shipped,1,1,2005,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
10391,37,46.9,-0.9815509913092003,2005-03-09,Shipped,1,3,2005,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
10425,38,100.0,1.28865308434676,2005-05-31,In Process,2,5,2005,Classic Cars,La Rochelle Gifts,France,EMEA,Medium
10108,33,100.0,0.944932996837416,2003-03-03,Shipped,1,3,2003,Classic Cars,Cruz & Sons Co.,Philippines,Japan,Medium
10122,42,100.0,2.2191680185310614,2003-05-08,Shipped,2,5,2003,Classic Cars,Marseille Mini Autos,France,EMEA,Large
10169,30,100.0,0.8110830604115177,2003-11-04,Shipped,4,11,2003,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Medium
10181,27,100.0,1.0245716623757122,2003-11-12,Shipped,4,11,2003,Classic Cars,Herkku Gifts,Norway,EMEA,Medium
10191,21,100.0,0.1676209807127032,2003-11-20,Shipped,4,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
10203,20,100.0,0.21646733875599744,2003-12-02,Shipped,4,12,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
10211,41,100.0,2.1640453128062265,2004-01-15,Shipped,1,1,2004,Classic Cars,Auto Canal Petit,France,EMEA,Large
10225,27,100.0,0.5371122975718163,2004-02-22,Shipped,1,2,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
10238,28,100.0,1.2230406914532985,2004-04-09,Shipped,2,4,2004,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Medium
10253,24,100.0,0.21218850694527752,2004-06-01,Cancelled,2,6,2004,Classic Cars,"UK Collectables, Ltd.",UK,EMEA,Medium
10287,21,100.0,-0.055413127421069304,2004-08-30,Shipped,3,8,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
10300,33,100.0,1.0850538232512195,2003-10-04,Shipped,4,10,2003,Classic Cars,"Blauer See Auto, Co.",Germany,EMEA,Medium
10310,33,100.0,1.8560785763071195,2004-10-16,Shipped,4,10,2004,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
10320,31,100.0,1.824145610842168,2004-11-03,Shipped,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
10341,45,79.65,0.027549273541625313,2004-11-24,Shipped,4,11,2004,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
10363,33,85.39,-0.39071745134351266,2005-01-06,Shipped,1,1,2005,Classic Cars,Suominen Souveniers,Finland,EMEA,Small
10375,45,76.0,-0.06209334443168284,2005-02-03,Shipped,1,2,2005,Classic Cars,La Rochelle Gifts,France,EMEA,Medium
10389,26,99.04,-0.5232466259094695,2005-03-03,Shipped,1,3,2005,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Small
10419,12,100.0,-0.8582180305201094,2005-05-17,Shipped,2,5,2005,Classic Cars,Salzburg Collectables,Austria,EMEA,Small
10117,33,100.0,1.3647551644088491,2003-04-16,Shipped,2,4,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10153,20,100.0,0.7478283911688608,2003-09-28,Shipped,3,9,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
10176,33,100.0,2.150728540334088,2003-11-06,Shipped,4,11,2003,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
10220,32,100.0,1.990785370633889,2004-02-12,Shipped,1,2,2004,Classic Cars,"Clover Collections, Co.",Ireland,EMEA,Large
10306,31,100.0,1.657494935663175,2004-10-14,Shipped,4,10,2004,Classic Cars,"AV Stores, Co.",UK,EMEA,Medium
10325,42,64.0,-0.4615965185958324,2004-11-05,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,Norway,EMEA,Small
10336,33,57.22,-0.8980701094510741,2004-11-20,Shipped,4,11,2004,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Small
10348,48,52.36,-0.5569533418061604,2004-11-01,Shipped,4,11,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Small
10359,42,100.0,0.6716826495576828,2004-12-15,Shipped,4,12,2004,Classic Cars,Reims Collectables,France,EMEA,Medium
10395,33,69.12,-0.683746480360553,2005-03-17,Shipped,1,3,2005,Classic Cars,Lyon Souveniers,France,EMEA,Small
10103,27,100.0,-0.07574849390926072,2003-01-29,Shipped,1,1,2003,Trucks and Buses,Baane Mini Imports,Norway,EMEA,Medium
10126,21,100.0,-0.5971820015980177,2003-05-28,Shipped,2,5,2003,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,EMEA,Small
10150,30,100.0,0.3090843997609924,2003-09-19,Shipped,3,9,2003,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10164,49,100.0,1.653292511563361,2003-10-21,Resolved,4,10,2003,Trucks and Buses,Mini Auto Werke,Austria,EMEA,Medium
10174,43,100.0,1.7920052530190442,2003-11-06,Shipped,4,11,2003,Trucks and Buses,"Australian Gift Network, Co",Australia,APAC,Medium
10194,38,100.0,0.7641578105281387,2003-11-25,Shipped,4,11,2003,Trucks and Buses,"Saveley & Henriot, Co.",France,EMEA,Medium
10216,43,100.0,1.2146904201900313,2004-02-02,Shipped,1,2,2004,Trucks and Buses,Auto Assoc. & Cie.,France,EMEA,Medium
10258,41,100.0,1.7106965332280946,2004-06-15,Shipped,2,6,2004,Trucks and Buses,"Tokyo Collectables, Ltd",Japan,Japan,Medium
10270,28,100.0,0.3061481605847583,2004-07-19,Shipped,3,7,2004,Trucks and Buses,Souveniers And Things Co.,Australia,APAC,Medium
10291,41,100.0,1.557640972896682,2004-09-08,Shipped,3,9,2004,Trucks and Buses,Scandinavian Gift Ideas,Sweden,EMEA,Medium
10304,39,100.0,1.5621162816783023,2004-10-11,Shipped,4,10,2004,Trucks and Buses,Auto Assoc. & Cie.,France,EMEA,Medium
10347,29,100.0,0.028739050754299878,2004-11-29,Shipped,4,11,2004,Trucks and Buses,"Australian Collectors, Co.",Australia,APAC,Medium
10391,39,63.2,-0.5834122405540811,2005-03-09,Shipped,1,3,2005,Trucks and Buses,"Anna's Decorations, Ltd",Australia,APAC,Small
10134,20,100.0,-0.44893466936002885,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Small
10169,35,100.0,0.6033359521525239,2003-11-04,Shipped,4,11,2003,Motorcycles,"Anna's Decorations, Ltd",Australia,APAC,Medium
10180,40,100.0,1.7540087899243613,2003-11-11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
10211,36,100.0,0.6756776812993246,2004-01-15,Shipped,1,1,2004,Motorcycles,Auto Canal Petit,France,EMEA,Medium
10224,43,100.0,1.3939865715239197,2004-02-21,Shipped,1,2,2004,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
10299,24,100.0,0.3401605073250723,2004-09-30,Shipped,3,9,2004,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Medium
10309,26,100.0,0.6147916510947444,2004-10-15,Shipped,4,10,2004,Motorcycles,Baane Mini Imports,Norway,EMEA,Medium
10375,49,78.92,0.1819092226520712,2005-02-03,Shipped,1,2,2005,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
10417,21,100.0,-0.046931871510535086,2005-05-13,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,Spain,EMEA,Medium
10104,34,100.0,1.3233421850979532,2003-01-31,Shipped,1,1,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
10117,43,100.0,1.2977674327190847,2003-04-16,Shipped,2,4,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10153,42,100.0,1.0150589023679515,2003-09-28,Shipped,3,9,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
10165,34,100.0,0.7347408418294399,2003-10-22,Shipped,4,10,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10208,26,100.0,-0.21362075054498125,2004-01-02,Shipped,1,1,2004,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Medium
10220,30,100.0,0.6439139043370932,2004-02-12,Shipped,1,2,2004,Classic Cars,"Clover Collections, Co.",Ireland,EMEA,Medium
10230,43,100.0,1.9006624756206025,2004-03-15,Shipped,1,3,2004,Classic Cars,"Blauer See Auto, Co.",Germany,EMEA,Large
10247,25,100.0,0.4625274563405696,2004-05-05,Shipped,2,5,2004,Classic Cars,Suominen Souveniers,Finland,EMEA,Medium
10293,24,100.0,0.3866600571048339,2004-09-09,Shipped,3,9,2004,Classic Cars,Amica Models & Co.,Italy,EMEA,Medium
10306,34,100.0,0.7907804400851429,2004-10-14,Shipped,4,10,2004,Classic Cars,"AV Stores, Co.",UK,EMEA,Medium
10314,46,100.0,1.5607736890438162,2004-10-22,Shipped,4,10,2004,Classic Cars,Heintze Collectables,Denmark,EMEA,Medium
10336,33,100.0,0.2868333828065217,2004-11-20,Shipped,4,11,2004,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Medium
10348,47,100.0,0.6918979467858801,2004-11-01,Shipped,4,11,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Medium
10358,49,55.34,-0.4486836154527672,2004-12-10,Shipped,4,12,2004,Classic Cars,Euro Shopping Channel,Spain,EMEA,Small
10372,40,100.0,1.2706754415093735,2005-01-26,Shipped,1,1,2005,Classic Cars,"Tokyo Collectables, Ltd",Japan,Japan,Medium
10108,45,100.0,1.4171326502347146,2003-03-03,Shipped,1,3,2003,Classic Cars,Cruz & Sons Co.,Philippines,Japan,Medium
10122,37,99.82,0.08708725341808314,2003-05-08,Shipped,2,5,2003,Classic Cars,Marseille Mini Autos,France,EMEA,Medium
10170,47,100.0,1.0538358156525998,2003-11-04,Shipped,4,11,2003,Classic Cars,Mini Auto Werke,Austria,EMEA,Medium
10181,28,100.0,-0.36730940333818407,2003-11-12,Shipped,4,11,2003,Classic Cars,Herkku Gifts,Norway,EMEA,Small
10191,40,100.0,1.122226174606848,2003-11-20,Shipped,4,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
10203,20,100.0,-0.6980238069126486,2003-12-02,Shipped,4,12,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Small
10212,39,100.0,0.7711654891569197,2004-01-16,Shipped,1,1,2004,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
10225,25,99.82,-0.5666571210911859,2004-02-22,Shipped,1,2,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Small
10238,29,100.0,-0.19996560106740335,2004-04-09,Shipped,2,4,2004,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Medium
10253,22,100.0,-0.6172281103234948,2004-06-01,Cancelled,2,6,2004,Classic Cars,"UK Collectables, Ltd.",UK,EMEA,Small
10266,22,100.0,-0.5890118342247428,2004-07-06,Shipped,3,7,2004,Classic Cars,L'ordine Souveniers,Italy,EMEA,Small
10287,45,100.0,0.6673274100360574,2004-08-30,Shipped,3,8,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
10300,29,100.0,0.24604803826378002,2003-10-04,Shipped,4,10,2003,Classic Cars,"Blauer See Auto, Co.",Germany,EMEA,Medium
10310,24,100.0,-0.23656489459123922,2004-10-16,Shipped,4,10,2004,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
10320,35,100.0,0.7185205763428844,2004-11-03,Shipped,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
10341,44,95.93,0.37502425427262137,2004-11-24,Shipped,4,11,2004,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
10363,34,96.73,-0.13368736955033458,2005-01-06,Shipped,1,1,2005,Classic Cars,Suominen Souveniers,Finland,EMEA,Medium
10389,25,72.38,-0.9410549045291731,2005-03-03,Shipped,1,3,2005,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Small
10419,10,100.0,-1.3325352690482228,2005-05-17,Shipped,2,5,2005,Classic Cars,Salzburg Collectables,Austria,EMEA,Small
10105,29,100.0,0.563385634736109,2003-02-11,Shipped,1,2,2003,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Medium
10117,39,100.0,1.3122303208548085,2003-04-16,Shipped,2,4,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10153,49,100.0,1.911894409123742,2003-09-28,Shipped,3,9,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Large
10165,27,100.0,1.1053236974157772,2003-10-22,Shipped,4,10,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10176,50,100.0,2.367944747051754,2003-11-06,Shipped,4,11,2003,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
10208,20,100.0,-0.2288804619515791,2004-01-02,Shipped,1,1,2004,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Medium
10220,27,100.0,0.8249019406981796,2004-02-12,Shipped,1,2,2004,Classic Cars,"Clover Collections, Co.",Ireland,EMEA,Medium
10231,49,100.0,1.8656295401703333,2004-03-19,Shipped,1,3,2004,Classic Cars,CAF Imports,Spain,EMEA,Medium
10247,27,100.0,0.34053708818596456,2004-05-05,Shipped,2,5,2004,Classic Cars,Suominen Souveniers,Finland,EMEA,Medium
10306,20,100.0,0.05437383776316628,2004-10-14,Shipped,4,10,2004,Classic Cars,"AV Stores, Co.",UK,EMEA,Medium
10314,36,100.0,1.844715658156713,2004-10-22,Shipped,4,10,2004,Classic Cars,Heintze Collectables,Denmark,EMEA,Medium
10325,24,100.0,-0.5185748401569489,2004-11-05,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,Norway,EMEA,Small
10336,49,63.38,-0.23367231696409457,2004-11-20,Shipped,4,11,2004,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Medium
10359,49,62.09,-0.26817039843802337,2004-12-15,Shipped,4,12,2004,Classic Cars,Reims Collectables,France,EMEA,Medium
10372,34,100.0,1.3140641059165454,2005-01-26,Shipped,1,1,2005,Classic Cars,"Tokyo Collectables, Ltd",Japan,Japan,Medium
10108,39,89.38,-0.02617080491872602,2003-03-03,Shipped,1,3,2003,Classic Cars,Cruz & Sons Co.,Philippines,Japan,Medium
10122,32,63.84,-0.8136832504493516,2003-05-08,Shipped,2,5,2003,Classic Cars,Marseille Mini Autos,France,EMEA,Small
10169,36,63.84,-0.6743155857573337,2003-11-04,Shipped,4,11,2003,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
10181,20,81.4,-1.0401120440247922,2003-11-12,Shipped,4,11,2003,Classic Cars,Herkku Gifts,Norway,EMEA,Small
10191,30,64.64,-0.8702686180686673,2003-11-20,Shipped,4,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Small
10203,44,82.99,0.06428500940636422,2003-12-02,Shipped,4,12,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
10211,28,92.57,-0.5140122082771506,2004-01-15,Shipped,1,1,2004,Classic Cars,Auto Canal Petit,France,EMEA,Small
10225,37,77.41,-0.36544832980826647,2004-02-22,Shipped,1,2,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Small
10238,20,74.21,-1.1185936785122301,2004-04-09,Shipped,2,4,2004,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Small
10253,25,90.17,-0.6983239800626355,2004-06-01,Cancelled,2,6,2004,Classic Cars,"UK Collectables, Ltd.",UK,EMEA,Small
10266,35,76.61,-0.46522588486385374,2004-07-06,Shipped,3,7,2004,Classic Cars,L'ordine Souveniers,Italy,EMEA,Small
10287,41,69.43,-0.3750211244460249,2004-08-30,Shipped,3,8,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Small
10300,22,76.61,-1.0087739671661782,2003-10-04,Shipped,4,10,2003,Classic Cars,"Blauer See Auto, Co.",Germany,EMEA,Small
10310,49,81.4,0.24823111571822892,2004-10-16,Shipped,4,10,2004,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
10320,38,73.42,-0.4059498742819298,2004-11-03,Shipped,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Small
10341,36,93.56,-0.09038602824134072,2004-11-24,Shipped,4,11,2004,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
10363,34,81.62,-0.4140709224124798,2005-01-06,Shipped,1,1,2005,Classic Cars,Suominen Souveniers,Finland,EMEA,Small
10377,24,67.83,-1.040155705573881,2005-02-09,Shipped,1,2,2005,Classic Cars,"Toys of Finland, Co.",Finland,EMEA,Small
10389,36,70.26,-0.5481773704392758,2005-03-03,Shipped,1,3,2005,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Small
10419,34,90.17,-0.2554157684104055,2005-05-17,Shipped,2,5,2005,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
10104,41,100.0,0.5905267451885449,2003-01-31,Shipped,1,1,2003,Trucks and Buses,Euro Shopping Channel,Spain,EMEA,Medium
10141,21,100.0,-0.760618095225335,2003-08-01,Shipped,3,8,2003,Trucks and Buses,Suominen Souveniers,Finland,EMEA,Small
10151,24,100.0,-0.11252243362945258,2003-09-21,Shipped,3,9,2003,Trucks and Buses,"Oulu Toy Supplies, Inc.",Finland,EMEA,Medium
10165,48,100.0,1.796578800286115,2003-10-22,Shipped,4,10,2003,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10175,26,100.0,0.005189102714432516,2003-11-06,Shipped,4,11,2003,Trucks and Buses,"Stylish Desk Decors, Co.",UK,EMEA,Medium
10184,37,100.0,0.5361899473473118,2003-11-14,Shipped,4,11,2003,Trucks and Buses,"Iberia Gift Imports, Corp.",Spain,EMEA,Medium
10246,46,100.0,0.8382405439448621,2004-05-05,Shipped,2,5,2004,Trucks and Buses,Euro Shopping Channel,Spain,EMEA,Medium
