id,ordernumber,quantityordered,priceeach,sales,orderdate,status,qtr_id,month_id,year_id,productline,customername,country,territory,dealsize
24,10388,42,76.36,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,FunGiftIdeas.com,USA,,Medium
25,10403,24,100.0,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,"UK Collectables, Ltd.",UK,EMEA,Small
26,10417,66,100.0,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,Spain,EMEA,Large
27,10103,26,100.0,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
28,10112,29,100.0,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Large
29,10126,38,100.0,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Large
30,10140,37,100.0,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,Technics Stores Inc.,USA,,Large
31,10150,45,100.0,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Large
32,10163,21,100.0,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,Classic Legends Inc.,USA,,Medium
33,10174,34,100.0,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,"Australian Gift Network, Co",Australia,APAC,Large
34,10183,23,100.0,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,"Classic Gift Ideas, Inc",USA,,Medium
35,10194,42,100.0,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Large
36,10206,47,100.0,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,Canadian Gift Exchange Network,Canada,,Large
37,10215,35,100.0,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,West Coast Collectables Co.,USA,,Medium
38,10228,29,100.0,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,Cambridge Collectables Co.,USA,,Medium
39,10245,34,100.0,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,Super Scale Inc.,USA,,Medium
40,10258,32,100.0,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,"Tokyo Collectables, Ltd",Japan,Japan,Large
41,10270,21,100.0,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,Souveniers And Things Co.,Australia,APAC,Medium
42,10280,34,100.0,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,Amica Models & Co.,Italy,EMEA,Large
43,10291,37,100.0,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Large
44,10304,47,100.0,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,Auto Assoc. & Cie.,France,EMEA,Large
45,10312,48,100.0,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Large
46,10322,40,100.0,6000.4,2004-11-04,Shipped,4,11,2004,Classic Cars,Online Diecast Creations Co.,USA,,Medium
47,10333,26,100.0,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,Mini Wheels Co.,USA,,Medium
48,10347,30,100.0,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,"Australian Collectors, Co.",Australia,APAC,Medium
49,10357,32,100.0,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Medium
50,10369,41,100.0,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,Collectables For Less Inc.,USA,,Medium
51,10381,36,100.0,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,Corporate Gift Ideas Co.,USA,,Large
52,10391,24,100.0,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
53,10411,23,100.0,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,Quebec Home Shopping Network,Canada,,Medium
54,10424,50,100.0,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,Euro Shopping Channel,Spain,EMEA,Large
55,10107,39,99.91,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,Land of Toys Inc.,USA,,Medium
56,10120,29,96.34,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Small
57,10134,27,100.0,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Medium
58,10145,37,100.0,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,Toys4GrownUps.com,USA,,Medium
59,10159,37,100.0,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,USA,,Medium
60,10168,27,100.0,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,Technics Stores Inc.,USA,,Medium
61,10180,42,100.0,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
62,10188,38,96.34,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,Herkku Gifts,Norway,EMEA,Medium
63,10201,24,100.0,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,Mini Wheels Co.,USA,,Medium
64,10210,23,100.0,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co.,Japan,Japan,Medium
65,10223,47,100.0,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Medium
66,10236,22,100.0,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,Motor Mint Distributors Inc.,USA,,Small
67,10251,44,100.0,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,Tekni Collectables Inc.,USA,,Medium
68,10263,40,100.0,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,Gift Depot Inc.,USA,,Medium
69,10275,22,100.0,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,France,EMEA,Small
70,10285,47,100.0,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,Marta's Replicas Co.,USA,,Medium
71,10298,39,96.34,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,Atelier graphique,France,EMEA,Medium
72,10308,34,100.0,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,Mini Classics,USA,,Medium
73,10318,45,100.0,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc.,USA,,Medium
74,10329,20,100.0,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,Land of Toys Inc.,USA,,Medium
75,10339,40,68.92,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Japan,Japan,Small
76,10361,26,51.15,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,Souveniers And Things Co.,Australia,APAC,Small
77,10374,39,100.0,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,"Australian Gift Network, Co",Australia,APAC,Medium
78,10388,50,44.51,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,FunGiftIdeas.com,USA,,Small
79,10402,45,100.0,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,Auto Canal Petit,France,EMEA,Medium
80,10417,45,100.0,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,Spain,EMEA,Medium
81,10107,27,100.0,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,Land of Toys Inc.,USA,,Medium
82,10120,46,100.0,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Large
83,10134,31,100.0,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Large
84,10145,33,100.0,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,Toys4GrownUps.com,USA,,Medium
85,10159,22,100.0,4132.7,2003-10-10,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,USA,,Medium
86,10168,20,100.0,4183.0,2003-10-28,Shipped,4,10,2003,Motorcycles,Technics Stores Inc.,USA,,Medium
87,10180,41,100.0,8892.9,2003-11-11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,France,EMEA,Large
88,10188,45,100.0,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,Herkku Gifts,Norway,EMEA,Large
89,10201,49,100.0,8065.89,2003-12-01,Shipped,4,12,2003,Motorcycles,Mini Wheels Co.,USA,,Large
90,10210,34,100.0,6123.4,2004-01-12,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co.,Japan,Japan,Medium
91,10223,49,100.0,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Large
92,10237,39,100.0,7023.9,2004-04-05,Shipped,2,4,2004,Motorcycles,Vitachrome Inc.,USA,,Large
93,10251,43,100.0,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,Tekni Collectables Inc.,USA,,Large
94,10263,41,100.0,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,Gift Depot Inc.,USA,,Large
95,10275,36,100.0,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
96,10285,27,100.0,5438.07,2004-08-27,Shipped,3,8,2004,Motorcycles,Marta's Replicas Co.,USA,,Medium
97,10299,29,100.0,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Medium
98,10308,20,100.0,4570.4,2004-10-15,Shipped,4,10,2004,Motorcycles,Mini Classics,USA,,Medium
99,10318,37,100.0,7667.14,2004-11-02,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc.,USA,,Large
100,10329,26,100.0,5868.2,2004-11-15,Shipped,4,11,2004,Motorcycles,Land of Toys Inc.,USA,,Medium
101,10339,39,76.67,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Japan,Japan,Small
102,10362,22,100.0,3664.1,2005-01-05,Shipped,1,1,2005,Motorcycles,Technics Stores Inc.,USA,,Medium
103,10374,22,100.0,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,"Australian Gift Network, Co",Australia,APAC,Medium
104,10388,21,86.77,1822.17,2005-03-03,Shipped,1,3,2005,Motorcycles,FunGiftIdeas.com,USA,,Small
105,10403,66,100.0,11886.6,2005-04-08,Shipped,2,4,2005,Motorcycles,"UK Collectables, Ltd.",UK,EMEA,Large
106,10417,56,100.0,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,Spain,EMEA,Large
107,10105,50,100.0,7208.0,2003-02-11,Shipped,1,2,2003,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Large
108,10119,46,100.0,5004.8,2003-04-28,Shipped,2,4,2003,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
109,10129,33,100.0,4398.24,2003-06-12,Shipped,2,6,2003,Classic Cars,"Stylish Desk Decors, Co.",UK,EMEA,Medium
110,10143,49,100.0,5597.76,2003-08-10,Shipped,3,8,2003,Classic Cars,Mini Creations Ltd.,USA,,Medium
111,10155,32,100.0,4526.08,2003-10-06,Shipped,4,10,2003,Classic Cars,"Toys of Finland, Co.",Finland,EMEA,Medium
112,10167,44,100.0,5924.16,2003-10-23,Cancelled,4,10,2003,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Medium
113,10178,24,100.0,3492.48,2003-11-08,Shipped,4,11,2003,Classic Cars,Alpha Cognac,France,EMEA,Medium
114,10186,26,100.0,3854.24,2003-11-14,Shipped,4,11,2003,Classic Cars,"Double Decker Gift Stores, Ltd",UK,EMEA,Medium
115,10197,45,100.0,5324.4,2003-11-26,Shipped,4,11,2003,Classic Cars,Enaco Distributors,Spain,EMEA,Medium
116,10209,39,100.0,5197.92,2004-01-09,Shipped,1,1,2004,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,,Medium
117,10222,49,100.0,5997.6,2004-02-19,Shipped,1,2,2004,Classic Cars,Collectable Mini Designs Co.,USA,,Medium
118,10248,20,100.0,2910.4,2004-05-07,Cancelled,2,5,2004,Classic Cars,Land of Toys Inc.,USA,,Small
119,10261,27,100.0,3378.24,2004-06-17,Shipped,2,6,2004,Classic Cars,Quebec Home Shopping Network,Canada,,Medium
120,10273,30,100.0,3508.8,2004-07-21,Shipped,3,7,2004,Classic Cars,Petit Auto,Belgium,EMEA,Medium
121,10283,25,100.0,2992.0,2004-08-20,Shipped,3,8,2004,Classic Cars,"Royal Canadian Collectables, Ltd.",Canada,,Small
122,10295,24,100.0,3427.2,2004-09-10,Shipped,3,9,2004,Classic Cars,Gifts4AllAges.com,USA,,Medium
123,10307,22,100.0,2692.8,2004-10-14,Shipped,4,10,2004,Classic Cars,"Classic Gift Ideas, Inc",USA,,Small
124,10316,33,100.0,4128.96,2004-11-01,Shipped,4,11,2004,Classic Cars,giftsbymail.co.uk,UK,EMEA,Medium
125,10325,47,64.93,3051.71,2004-11-05,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
126,10337,25,48.05,1201.25,2004-11-21,Shipped,4,11,2004,Classic Cars,Classic Legends Inc.,USA,,Small
127,10350,26,75.47,1962.22,2004-12-02,Shipped,4,12,2004,Classic Cars,Euro Shopping Channel,Spain,EMEA,Small
128,10359,48,54.68,2624.64,2004-12-15,Shipped,4,12,2004,Classic Cars,Reims Collectables,France,EMEA,Small
129,10373,39,100.0,4046.25,2005-01-31,Shipped,1,1,2005,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,EMEA,Medium
130,10384,34,100.0,4846.7,2005-02-23,Shipped,1,2,2005,Classic Cars,Corporate Gift Ideas Co.,USA,,Medium
131,10395,32,100.0,3370.56,2005-03-17,Shipped,1,3,2005,Classic Cars,Lyon Souveniers,France,EMEA,Medium
132,10400,64,100.0,9661.44,2005-04-01,Shipped,2,4,2005,Classic Cars,The Sharp Gifts Warehouse,USA,,Large
133,10414,19,100.0,2764.88,2005-05-06,On Hold,2,5,2005,Classic Cars,Gifts4AllAges.com,USA,,Small
134,10103,42,100.0,5398.26,2003-01-29,Shipped,1,1,2003,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
135,10114,31,100.0,4305.28,2003-04-01,Shipped,2,4,2003,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Medium
136,10126,22,100.0,3347.74,2003-05-28,Shipped,2,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Medium
137,10140,26,100.0,3188.12,2003-07-24,Shipped,3,7,2003,Classic Cars,Technics Stores Inc.,USA,,Medium
138,10150,20,100.0,3191.2,2003-09-19,Shipped,3,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
139,10164,21,100.0,3536.82,2003-10-21,Resolved,4,10,2003,Classic Cars,Mini Auto Werke,Austria,EMEA,Medium
140,10175,33,100.0,5362.83,2003-11-06,Shipped,4,11,2003,Classic Cars,"Stylish Desk Decors, Co.",UK,EMEA,Medium
141,10183,28,100.0,3433.36,2003-11-13,Shipped,4,11,2003,Classic Cars,"Classic Gift Ideas, Inc",USA,,Medium
142,10194,26,100.0,4263.74,2003-11-25,Shipped,4,11,2003,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Medium
143,10207,31,100.0,4076.19,2003-12-09,Shipped,4,12,2003,Classic Cars,Diecast Collectables,USA,,Medium
144,10217,48,100.0,7020.48,2004-02-04,Shipped,1,2,2004,Classic Cars,Handji Gifts& Co,Singapore,APAC,Large
145,10229,50,100.0,6426.5,2004-03-11,Shipped,1,3,2004,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Medium
146,10245,28,100.0,4591.72,2004-05-04,Shipped,2,5,2004,Classic Cars,Super Scale Inc.,USA,,Medium
147,10259,26,100.0,4033.38,2004-06-15,Shipped,2,6,2004,Classic Cars,Handji Gifts& Co,Singapore,APAC,Medium
148,10270,32,100.0,4302.08,2004-07-19,Shipped,3,7,2004,Classic Cars,Souveniers And Things Co.,Australia,APAC,Medium
149,10281,44,100.0,7020.64,2004-08-19,Shipped,3,8,2004,Classic Cars,Diecast Classics Inc.,USA,,Large
150,10291,30,100.0,3855.9,2004-09-08,Shipped,3,9,2004,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Medium
151,10305,38,100.0,6680.78,2004-10-13,Shipped,4,10,2004,Classic Cars,Marta's Replicas Co.,USA,,Medium
152,10313,40,100.0,6678.0,2004-10-22,Shipped,4,10,2004,Classic Cars,Canadian Gift Exchange Network,Canada,,Medium
153,10322,46,61.99,2851.54,2004-11-04,Shipped,4,11,2004,Classic Cars,Online Diecast Creations Co.,USA,,Small
154,10334,26,100.0,3188.12,2004-11-19,On Hold,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
155,10347,27,100.0,4428.0,2004-11-29,Shipped,4,11,2004,Classic Cars,"Australian Collectors, Co.",Australia,APAC,Medium
156,10357,43,100.0,5780.92,2004-12-10,Shipped,4,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Medium
157,10370,35,65.63,2297.05,2005-01-20,Shipped,1,1,2005,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
158,10381,37,100.0,6231.54,2005-02-17,Shipped,1,2,2005,Classic Cars,Corporate Gift Ideas Co.,USA,,Medium
159,10391,37,46.9,1735.3,2005-03-09,Shipped,1,3,2005,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
160,10411,27,100.0,4427.73,2005-05-01,Shipped,2,5,2005,Classic Cars,Quebec Home Shopping Network,Canada,,Medium
161,10425,38,100.0,5894.94,2005-05-31,In Process,2,5,2005,Classic Cars,La Rochelle Gifts,France,EMEA,Medium
162,10108,33,100.0,5265.15,2003-03-03,Shipped,1,3,2003,Classic Cars,Cruz & Sons Co.,Philippines,Japan,Medium
163,10122,42,100.0,7599.9,2003-05-08,Shipped,2,5,2003,Classic Cars,Marseille Mini Autos,France,EMEA,Large
164,10135,42,100.0,8008.56,2003-07-02,Shipped,3,7,2003,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Large
165,10147,48,100.0,9245.76,2003-09-05,Shipped,3,9,2003,Classic Cars,Collectables For Less Inc.,USA,,Large
166,10159,41,100.0,8296.35,2003-10-10,Shipped,4,10,2003,Classic Cars,Corporate Gift Ideas Co.,USA,,Large
167,10169,30,100.0,5019.9,2003-11-04,Shipped,4,11,2003,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Medium
168,10181,27,100.0,5411.07,2003-11-12,Shipped,4,11,2003,Classic Cars,Herkku Gifts,Norway,EMEA,Medium
169,10191,21,100.0,3840.9,2003-11-20,Shipped,4,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
170,10203,20,100.0,3930.4,2003-12-02,Shipped,4,12,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
171,10211,41,100.0,7498.9,2004-01-15,Shipped,1,1,2004,Classic Cars,Auto Canal Petit,France,EMEA,Large
172,10225,27,100.0,4517.91,2004-02-22,Shipped,1,2,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
173,10238,28,100.0,5774.72,2004-04-09,Shipped,2,4,2004,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Medium
174,10253,24,100.0,3922.56,2004-06-01,Cancelled,2,6,2004,Classic Cars,"UK Collectables, Ltd.",UK,EMEA,Medium
175,10266,44,100.0,9160.36,2004-07-06,Shipped,3,7,2004,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
176,10276,50,100.0,9631.0,2004-08-02,Shipped,3,8,2004,Classic Cars,Online Mini Collectables,USA,,Large
177,10287,21,100.0,3432.24,2004-08-30,Shipped,3,8,2004,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
178,10300,33,100.0,5521.89,2003-10-04,Shipped,4,10,2003,Classic Cars,"Blauer See Auto, Co.",Germany,EMEA,Medium
179,10310,33,100.0,6934.62,2004-10-16,Shipped,4,10,2004,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
180,10320,31,100.0,6876.11,2004-11-03,Shipped,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
181,10329,41,71.47,2930.27,2004-11-15,Shipped,4,11,2004,Classic Cars,Land of Toys Inc.,USA,,Small
182,10341,45,79.65,3584.25,2004-11-24,Shipped,4,11,2004,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
183,10363,33,85.39,2817.87,2005-01-06,Shipped,1,1,2005,Classic Cars,Suominen Souveniers,Finland,EMEA,Small
184,10375,45,76.0,3420.0,2005-02-03,Shipped,1,2,2005,Classic Cars,La Rochelle Gifts,France,EMEA,Medium
185,10389,26,99.04,2575.04,2005-03-03,Shipped,1,3,2005,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Small
186,10419,12,100.0,1961.28,2005-05-17,Shipped,2,5,2005,Classic Cars,Salzburg Collectables,Austria,EMEA,Small
187,10105,41,100.0,8690.36,2003-02-11,Shipped,1,2,2003,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Large
188,10117,33,100.0,6034.38,2003-04-16,Shipped,2,4,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
189,10127,46,100.0,11279.2,2003-06-03,Shipped,2,6,2003,Classic Cars,Muscle Machine Inc,USA,,Large
190,10142,33,100.0,8023.29,2003-08-08,Shipped,3,8,2003,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Large
191,10153,20,100.0,4904.0,2003-09-28,Shipped,3,9,2003,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
192,10165,44,100.0,8594.52,2003-10-22,Shipped,4,10,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Large
193,10176,33,100.0,7474.5,2003-11-06,Shipped,4,11,2003,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
194,10185,21,100.0,3883.74,2003-11-14,Shipped,4,11,2003,Classic Cars,Mini Creations Ltd.,USA,,Medium
195,10196,47,100.0,8887.7,2003-11-26,Shipped,4,11,2003,Classic Cars,Super Scale Inc.,USA,,Large
196,10208,46,100.0,8602.92,2004-01-02,Shipped,1,1,2004,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Large
197,10220,32,100.0,7181.44,2004-02-12,Shipped,1,2,2004,Classic Cars,"Clover Collections, Co.",Ireland,EMEA,Large
198,10231,42,100.0,8378.58,2004-03-19,Shipped,1,3,2004,Classic Cars,CAF Imports,Spain,EMEA,Large
199,10247,44,100.0,10606.2,2004-05-05,Shipped,2,5,2004,Classic Cars,Suominen Souveniers,Finland,EMEA,Large
200,10272,35,100.0,5818.4,2004-07-20,Shipped,3,7,2004,Classic Cars,Diecast Classics Inc.,USA,,Medium
201,10282,41,100.0,7071.27,2004-08-20,Shipped,3,8,2004,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Large
202,10293,46,100.0,8411.56,2004-09-09,Shipped,3,9,2004,Classic Cars,Amica Models & Co.,Italy,EMEA,Large
203,10306,31,100.0,6570.76,2004-10-14,Shipped,4,10,2004,Classic Cars,"AV Stores, Co.",UK,EMEA,Medium
204,10314,38,100.0,7975.44,2004-10-22,Shipped,4,10,2004,Classic Cars,Heintze Collectables,Denmark,EMEA,Large
205,10325,42,64.0,2688.0,2004-11-05,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,Norway,EMEA,Small
206,10336,33,57.22,1888.26,2004-11-20,Shipped,4,11,2004,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Small
207,10348,48,52.36,2513.28,2004-11-01,Shipped,4,11,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Small
208,10359,42,100.0,4764.48,2004-12-15,Shipped,4,12,2004,Classic Cars,Reims Collectables,France,EMEA,Medium
209,10371,32,100.0,3560.64,2005-01-23,Shipped,1,1,2005,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Medium
210,10382,34,100.0,3823.64,2005-02-17,Shipped,1,2,2005,Classic Cars,Mini Gifts Distributors Ltd.,USA,,Medium
211,10395,33,69.12,2280.96,2005-03-17,Shipped,1,3,2005,Classic Cars,Lyon Souveniers,France,EMEA,Small
212,10413,36,100.0,8677.8,2005-05-05,Shipped,2,5,2005,Classic Cars,Gift Depot Inc.,USA,,Large
213,10103,27,100.0,3394.98,2003-01-29,Shipped,1,1,2003,Trucks and Buses,Baane Mini Imports,Norway,EMEA,Medium
214,10113,21,100.0,3415.44,2003-03-26,Shipped,1,3,2003,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,,Medium
